;company;content;label
29166;greensky;"mr welsh, who is qualified as both an independent finan-cial adviser and as an investment man-ager, will focus on working with existing directors to expand greensky wealth's offering to retail customers as well as developing other services as the firm looks to broaden its offerings.

 greensky wealth director paul holiday said: ""we are delighted to welcome nick. nick brings a new energy, skills and a wealth of ideas which we are keen to develop.""";X
31278;sugarsync;"us personal cloud services company sugarsync has been selected by france telecom-orange to provide personal cloud services to orange's 2.7 million business customers in france. sugar sync's personal cloud service will be included in orange's ""le cloud pro"" bundle of online apps, including communications, business management, collaboration and e-marketing. sugarsync will be offered directly to orange's business customers who are looking for a cloud solution to backup, sync, access and share all of their files and data on any device. sugarsync supports both mac and pc platforms as well as 95 percent of all mobile devices worldwide, including ios, android, blackberry, windows mobile and symbian.";X
33812;everfi; cincinnati :  finance academy, has issued the following press release: finance academy, a new financial and entrepreneurship education program. the bank is collaborating with education technology company, everfi, inc., to launch finance academy throughout its 10-state footprint and expects to educate 150,000 students in its first full year.;X
33828;everfi;"the platform is also providing educational programs for family members of plan participants. the courses are designed to be appropriate for various age groups, including elementary kids. indeed, john hancock and everfi have partnered before to offer financial literacy curricula to some 35 michigan public schools and boston area students.

 ""john hancock's commitment to the long-term financial wellness of its customers is something we are proud to be a part of,"" ray martinez, everfi's president of financial education, stated. ""working together, we look forward to having a significant positive effect on many people's lives.""

 john hancock has launched a new web-based financial wellness platform in partnership with everfi, an education technology provider. the platform focuses on core financial competency and is available to participants of all plans served by the boston-based provider.";X
33965;gigya;lastly, there are the implications of social sign-in, where you use your membership of a social media website (like facebook or linkedin) to automatically log you into another website. web socialisation company gigya estimates 20 per cent of business-oriented social sign-ins are linkedin based, with the biggest industries being finance and high tech.;X
34374;upworthy;"maybe. but don't count your chicken nuggets yet awhile. for the currency of online reckoning is, perversely, as riven by disagreement as the methodologies history provides. do you count page views, online browsers, unique visitors, screens or individuals? what value clickbait? do you want ""engaged visitors"" (who've vaulted a paywall to read your site) or ""engaged time"", the minutes readers spend on a page? or perhaps ""attention minutes"", as embraced by upworthy, which measures the time taken to read a particular piece or manoeuvre around a particular page?";X
34659;polyvore;"  co-founder and ceo wes ng shared a few tips on how a hong kong product startup can find global success like casetify. focus on a target demographic profile  co-founder and ceo wes ng started casetify in hong kong to give people the power to express themselves through unique and customizable products.  they began in hong kong in 2011. wes was himself an instagram addict and noticed that after posting interesting pictures, he would receive some engagement but that was the end of it. he then thought, ""wouldn't it be great if we could turn these great photos into real products?"" that's how casetify (then called casetigram) was born.  the decision to start in hong kong wasn't a conscious choice for him. he is from hong kong, so it was quite natural to start there. hong kong is also at the forefront for phones in asia, because they're cheaper to purchase here, so everyone is hyper connected, it's a picture and selfie capital, and most people do require a phone case. hong kong made as much sense as a place to start as anywhere else for casetify, in that regard. benefits of a product company working in hong kong  because of its proximity to china, having a headquarters in hong kong definitely has its perks for physical product-focused companies. they've capitalized on hong kong's unique balance and blend of centralized international asia talent and connections to manufacturing, which is just a short mtr ride across the border.  casetify considers itself a ""full stack"" company, building, branding, manufacturing and shipping its own products. these important business aspects wouldn't cut and paste as neatly into other countries.  leveraging on the power of social media and influencers  they are currently working with many big brands like colette, bbc icecream, lane crawford, hillary duff, karen mok, and fiona sit - but how did that happen? with casetify, it's because many of the celebrities were already using their products and they discovered their product through social media. fans or the celebrities themselves might tag them, in turn allowing them to locate social media savvy celebrities and influencers.  their first customer ever was actually from spain, most likely from a twitter referral. because of their focus on building a fan base on social media, and their instinctively social savvy audience, casetify is used and commented on in social media by people like lionel messi, kobe bryant and snoop dogg. differences in founders from east and west  co-founder and ceo wes ng has had much experience working in many different places and cultures. in fact, casetify probably has more brand recognition in the united states than in asia. i asked him - can the west, hong kong, and asia learn anything from each other?  he says, in terms of startups outside of asia, it's very different. with many friends and frequent visits to silicon valley, he still sees gaps in terms of execution and the openness to discuss ideas. he feels this is especially true in some industries, especially when compared to china where ecommerce is mature and there is a widespread use of mobile payments.  in terms of ideas, he feels people in the east can be hesitant to share their ideas, when we should all be less afraid to do so because an idea is simply the start of something. a company or founder will have 1000 followup ideas or questions that require execution, so execution is actually the most important component to success.  awareness and business growth through niche social media networks  while established social media networks are great to tap into to find fans and build your brand, more niche ones can sometimes be just as valuable.  for example, casetify uses snapchat for many of its events. their staff might provide a sneak peak of an exclusive event, giving a behind the scenes look using snapchat. they also use it and other social media tools to conduct ""flash sales"", where they'll send out a message and the first 50 or 100 customers can get in on a limited time offer, which is an effective way to reach an audience with purchase intent.  other social media platforms they mentioned that are worth investigating in america, which you might not have heard of, are keep, a place to discover and buy the latest trends in fashion, home decor, accessories and design, wanelo, which is a ""mobile mall"", with, surprisingly, over half a million stores and polyvore, a community-powered social commerce website.  it's important to know on a deeper level how users engage on each respective channel. for example, casetify knows that snapchat is an incredible platform for storytelling and uses it for that purpose. the future of product startups?  casetify itself has moved away from having cases as their only product offering (they've recently dived into the world of watch straps), but they stress that it took much planning and time. companies should stay focused and resist the temptation to move too fast into new product categories.  wes believes that the future of retail is an interplay of online and offline. those who understand how retail and e-commerce interact, and how these interactions will affect business, will be the leaders of tomorrow.";X
34867;icentera;(c)2015 callidus software inc. all rights reserved. callidus, callidus software, the callidus software logo, calliduscloud, the calliduscloud logo, clicktools, surve, syncfrog, truecomp manager, acteksoft, acom3, icentera, webcom, litmos, the litmos logo, leadformix, rapid intake, 6figurejobs, and leadrocket are trademarks, service marks, or registered trademarks of callidus software inc. press contacts: nasdaq closing price for cald-q date: 2015/11/23 closing price: 20.69;Q
35253;payoneer;"'sri lanka is witnessing a steady rise in the number of entrepreneurs and freelancers who are serving the increasingly digitised global market. this has opened additional streams of revenue for them. however, they face several challenges in receiving payments from abroad including high transaction costs, delayed processing and lengthy hold times,' said dialog axiata plc digital services vice president fariq cader. 'we are delighted to partner with payoneer to offer our talented freelancers and entrepreneurs a better way to accept payments from their clients abroad with greater ease. we look forward to seeing them avail the convenience and security afforded by our platforms and grow their businesses globally,' he added.

 payoneer, an innovative cross-border payments company transforming the way businesses pay and get paid globally, announced today that it has partnered and integrated with ez cash, sri lanka's leading mobile money network and a brand of the dialog axiata group, which commands 50% of the country's mobile market.

 payoneer's direct business general manager eyal moldovan said: 'we are delighted to partner with ez cash to further localise our cross-border payment solutions for the sri lankan market and are committed to partnering with additional mobile payment networks and ewallets throughout the world. alliances such as this further cement our position as the go-to solution for freelancers and small businesses, empowering professionals and business owners worldwide to get paid globally as easily as they do locally.'

 through the integration, sri lankan entrepreneurs, merchants and freelancers are able to withdraw cross-border payments they receive using payoneer straight to their ez cash mobile accounts, where they can make a host of local payments with greater ease. the partnership marks another step in payoneer's roadmap to make payments for smbs more seamless, flexible and more localised than ever before. ez cash will market payoneer to its small business customers as a value-added service.

 the integration enables ez cash's 14 million subscribers to leverage payoneer's cross-border capabilities to connect with marketplaces and clients worldwide. ez cash customers can send and receive funds across the network's user base, receive inward remittances from abroad, make online purchases and settle utility bills directly from their mobile phone.

 this partnership is the latest addition to payoneer's growing suite of business services, aimed to meet the needs of today's digital businesses. in the past year, payoneer has announced its integrated payments api, which allows for the integration of a payment service with saas providers, an early payments service to provide working capital for smes, and new features to further automate and streamline payoneer's billing service, which simplifies the process of getting paid by clients worldwide.";X
35459;houseparty;"after being shaken out of a houseparty in ladbroke grove by the windows vibrating, a group of us head to the sancho panza stage. this consists of a sound system, a street, the sun (a wholly welcome addition) and people jumping and dancing and happy.

 heaving and hobbling through the throng towards another houseparty takes an age. once through we breathe, before catching our breath at the horror of the dead end. the thought of threading back is hellish, but then i notice a small flight of steps to the right and we ascend, as if to heaven.";X
36106;medallia;medallia, the sillicon valley based company that supplies tools for real time measuring of customers experience with corporations, has local operations since 2011. president cristian rapagna says most of its clients are large corporations that need to keep in touch with customers to assess the acceptance of products and services. the goal is to gather data to improve the customers experience, as fulfilled customers tend to increase expenditures, contrary to the ones that have had a poor experience. medallia is the sole company to offer these tools and services, while market feedback services are not considered competitors, the company, with 650 employees, collects information from social networks and the internet assessing customers satisfaction. the local branch also develop tools related to the business of its parent in the us.;X
38394;integenx;"integenx completed the developmental validation of the globalfiler express cartridges with the rapidhit system for buccal swabs with a highly successful codis profile generation rate. completion of scientific working group for dna analysis methods (swgdam) developmental validation is a key milestone necessary for the commercialization of human dna identification systems in forensics, law enforcement, defense, homeland security, and intelligence community applications: the rapidhit is the only rapid dna system to have met such a milestone.

 pleasanton, ca--(marketwired - february 18, 2014) - integenx inc., the market leader in rapid human dna identification technology, today announced the launch of globalfiler(r) express cartridges for the rapidhit(tm) system, providing dna profiles with 24-loci in less than two hours with less than five minutes hands-on time. the rapidhit globalfiler express cartridges contain life technologies' ndis-approved globalfiler express kit which has all dna markers commonly used in most international databases, including all markers recommended for inclusion by the codis core loci working group. the rapidhit globalfiler express cartridges feature a flexible design, allowing operators to run from one to seven samples in a single run, as well as a room temperature cartridge storage protocol.

 ""we're thrilled at the full commercial global launch of the rapidhit globalfiler express cartridges, and the new flexible format that allows operators to decide how many samples to include per run. the developmental validation of the globalfiler express cartridges under swgdam guidelines is an important milestone. offering life technologies' most advanced ndis-approved chemistry on the rapidhit will be of great value to the us and worldwide forensic communities,"" commented robert schueren, president and chief executive officer of integenx.

 integenx, headquartered in pleasanton, california, is the market leader of rapid human dna identification technology. integenx technology platforms integrate advanced fluidics, optics, and biochemistry capabilities to produce sample-to-answer products for dna-based human identity testing for forensics and law enforcement applications. for more information, please visit www.integenx .com.

 the integenx rapidhit system fully automates and integrates all steps necessary to generate a dna profile in less than two hours. with less than five minutes of hands-on time, an operator can generate up to seven complete dna profiles. rapidhit system dna profiles are completely compatible with standard databases that contain previously generated profiles from reference and crime scene sources. combining ease of use and rapid turnaround time for dna human identification will have a high impact toward ensuring the safety of our communities.

 integenx, the integenx logo, and rapidhit are trademarks of integenx inc. all other names or trademarks are the property of their respective owners.

 in addition to developmental validation data for buccal swabs, integenx has generated data demonstrating the rapidhit system readily analyzes samples routinely recovered from crime scenes, such as blood, saliva, and semen. these applications dramatically expand the utility of the rapidhit system and provide a fast dna-based crime scene investigation and rapid lead identification capability for the law enforcement, defense, and intelligence communities worldwide. data will be presented at the 66th annual aafs meeting, february 17-22, seattle, washington.

 ""the superior quality of the data obtained from globalfiler express kits has proven to be a transformative solution for forensic labs,"" said nadia altomare, vice president and general manager, human identification, for thermo fisher scientific. ""our partnership with integenx brings together the industry's most powerful chemistry and the leading rapid platform to help forensic laboratories and law enforcement agencies solve and prevent crimes.""";X
38702;revver;"while still scraping the mud from his boots, he revealed the pr5 250 extreme is a relatively slow-revver that can be ridden quite fast if you thrash it. he prefers bigger machines than a 250, but said the fuel injection delivered smooth response from a relatively torquey but slow-revving motor. those used to race-bred performance may be disappointed, therefore, but anyone seeking a tractable real-world off-roader should be happy, particularly given the ""decent, plush"" suspension.";X
41059;codenomicon;"mark nunnikhoven, vice-president of cloud and emerging technology at security research firm trend micro, said the six-hour window during which the ""government of canada's lead security agencies"" witnessed someone make off with private data, including social insurance numbers, likely occurred between the time the exploit was made public by codenomicon and the time the cra website was closed to tax filers tuesday night.

 ""exploitation of this bug leaves no traces of anything abnormal happening,"" codenomicon - the security firm that discovered and rang alarm bells about the heartbleed vulnerability - said on a website set up to educate people about the issue.";N
41695;awhere;"the insights it can provide from all that data target a number of different sectors, from the farms themselves to agribusiness and commodity risk to food security for government customers. as john corbett, ceo of awhere, told agfunder news (agfunder being one of two of the companys primary investors): anyone with commodity risk exposure should be looking at this: these data have greater fidelity in space and time than anyone else.

 founded in 2017, spanish company ec2ec (easy to see) has raised $1 million, according to cb insights, for its ai platform that supports several solutions similar to awhere. these include farm management, supply chain insights and market forecasts. information is sparse on how it does this or what datasets its machine learning system mines for predictive analytics.

 agtech meets fintech with colorado-based awhere, which has raised about $14.45 million since it was founded in 1999, with almost all of the disclosed funding coming 15 years later in 2014. the company has developed a global weather data platform keyed onto the agricultural landscape. it has turned more than a billion daily data points into what it calls agricultural intelligence.";X
42045;cloudwords;"global brands such as amazon web services, ptc, mcdonald's, marketo and others use cloudwords to deliver globally consistent, high quality and timely content to multiple countries in many languages.  by connecting marketing systems, key stakeholders, and localization processes, these best-in-class companies have successfully transitioned from disjointed marketing teams operating independently, to global marketing powerhouses.  see how you can too. minimize manual overhead

 no more copy and paste or other manual steps.  optimized for ease of use, cloudwords helps you speed turnaround time when launching global campaigns and localized content.  with cloudwords, you can deliver more personalized content, in more languages, to more customers faster and with higher level of quality than ever before.

     connect your language service provider bring your preferred lsp, or select one from our vendor marketplace, and leverage cloudwords' technology to increase efficiency, improve quality, and manage costs.   align your team worldwide powerful project management capabilities keep all internal reviewers and key stakeholders in-sync. increase team productivity and get complete visibility into the localization workflow.   accelerate your global marketing deliver global marketing campaigns and content on time and on budget without adding resources. maximize the global value of your marketing technology stack. digitally transform your global marketing

 you are a global marketer living in a world of rapidly-changing customer expectations. time is not on your side. you are being asked to deliver more content, through more channels, in more languages. built for marketers, by marketers, cloudwords gives you the power to deliver global campaigns and localized assets with speed and scale. now is the time to transform your global marketing process so you can reach more customers faster. talk to us. we speak your language. integrate cloudwords with the marketing platforms you already use to automate the workflow and eliminate manual cut-and-paste processes.";X
43050;letgo;"the company, which has grown to 165 employees, also reported that letgo buyers and sellers have already sent each other 3 billion messages using the app's chat feature - up to 9 million daily. the feature eliminates any need for users to share phone numbers with each other or endure the frustratingly slow back-and-forth of email. buyers and sellers can easily view each other's letgo profiles, which display prior listings along with ratings and reviews from other users.

 unlike any other marketplace of its kind, letgo simplifies buying and selling with image recognition and artificial intelligence. the company called this technology and the convenience it unlocks for users major drivers of the app's enormous popularity. posting anything from skis to a laptop for sale on letgo is as effortless as taking a photo because it is the only app of its kind that automatically titles and categorizes users' listings. letgo said its advanced technology has identified 400 million user photos to date and up to 1.3 million daily.

 ""letgo makes it amazingly simple to think 'secondhand' before 'new,'"" said cofounder alec oxenford. ""we replace old hassles with new convenience to connect tens of millions of buyers and sellers in their own neighborhoods. that's why letgo has become the largest and fastest growing app of its kind in only two years.""

 letgo, the largest and fastest growing app to buy and sell locally, revealed that 75 million people have downloaded its free marketplace app - two and a half times its total only a year ago. letgo also disclosed that users have posted over 200 million listings since it launched in 2015. sellers add well over half a million new listings daily, the company added. according to a new comscore report, letgo ranks second among the fastest growing apps in america, ahead of uber, lyft, whatsapp, wish, venmo and others.";X
43383;preventice;" alexandria, va: united states patent and trademark office has received an application no. 20160342670 for us patent, published on november 24, 2016, by preventice, inc. (minnesota), titled as ""device data synchronization""  for the registration of patent.";X
44139;visterra;holon, israel: following is the profile of steve holtzman leading entrepreneur and executive of compugen: mr. holtzman has been a leading entrepreneur and executive in the biotechnology field since the mid-1980's. most recently he was the executive vice president, corporate development of biogen. previously, he served as the founder, ceo and chairman of the board of directors of infinity pharmaceuticals, inc., and the chief business officer of millennium pharmaceuticals, inc. in addition, mr. holtzman was a founder, member of the board and the executive vice president of dnx corporation. currently, he is a member of the boards of directors of pmv pharma, visterra and molecular partners. in the not-for-profit arena, mr. holtzman is a trustee of the berklee college of music, and previously served as the vice chairman of the board of trustees of the hastings center for ethics and the life sciences and as a presidential appointee to the us national bioethics advisory commission. he received his b.a. in philosophy from michigan state university and his b.phil. graduate degree in philosophy from corpus christi college, oxford university, which he attended as a rhodes scholar.;X
45350;plumgrid;"the company chose openstack with plumgrid sdn to help it build a cloud infrastructure with secure and scalable multi-tenancy as its platform for service delivery.

  plumgrid, a leader of secure and scalable sdn and nfv solutions for container and openstack clouds, announced today that nayatel, a leading provider of fiber to the home (ftth) services in pakistan, has deployed the nation's first openstack cloud based on plumgrid open networking suite (ons) and cloudapex, a statement said on wednesday.";X
46617;iovation;"head line: us patent granted to iovation, inc (oregon) on december 1, 2015 titled as ""network security and fraud detection system and method""

  alexandria, va: united states patent and trademark office has granted patent no. 9,203,837 on december 1, 2015, to iovation, inc (oregon) titled as ""network security and fraud detection system and method""";X
47389;fitstar;"      ·    fitstar and aussie app zova deliver personalised workout sessions to           your phone      ·    sleepbot is great for tracking sleep patterns, while streaks helps you           track goals      ·    charity miles and pact help you earn money for a good cause or           yourself      ·    old favourites like myfitnesspal and c25k also made the cut

 the popular fitstar app, designed by former nfl player tony gonzalez and now owned by fitbit, delivers personalised workout programs right to your phone.";X
47617;cardiosolutions;during 2012, sorin demonstrated its commitment to build a new growth platform in percutaneous mitral valve therapies through two selected investments. in july and november 2012, sorin acquired, respectively, a minority interest with option-to-buy in cardiosolutions and highlife, companies both focused on the development of innovative percutaneous systems to treat patients with mitral valve regurgitation.;X
47858;cellzdirect;san diego: following is the profile of donald w. grimm executive chairman of aegis therapeutics:  mr. grimm has served as a director with hamilton bioventures since august 2001. since june 1995 he has served as chairman and president of strategic design llc, a strategic planning and consulting company. mr. grimm retired from eli lilly & company, a research-based pharmaceutical company, in december 1993 after 23 years of service. mr. grimm held positions at eli lilly as director of worldwide pharmaceutical pricing, director of pharmaceutical market research, and director of sales. following these assignments, mr. grimm was president & chief executive officer of hybritech, inc., a wholly owned subsidiary of lilly. in addition, he is currently a director of several private and public companies, including life technologies corp., angstrom, cellzdirect, htg and acs. mr. grimm received his b.s. in pharmacy and his m.b.a. from the university of pittsburgh.;X
49557;pipedrive;"estonian startup pipedrive is planning to localize its sales management software tools into indian languages to grow its business in the south asian market. ""our sales management software content has been translated into korean, japanese and portuguese, and now localization of content is a strong possibility in indian languages, although we do not have a specific timeline,"" martin koiva, global head for customer support at pipedrive, told the india times. pipedrive, best known for its sales customer relationship management (crm) app, has some 700 customers in india. koiva said pipedrive's total venture capital funding surpasses usd 30mn (eur 25.11mn).";X
49967;zoox;"earlier in the month it emerged that zoox had snared 17 engineers away from apple, after the iphone-making behemoth shelved its own car project, codenamed ""titan"".

 last week, reports surfaced in the us media (online outlet axios had the scoop) that zoox was in talks with softbank, the leviathan japanese wireless carrier and one of the world's most enthusiastic start-up investors, for an investment of as much as $us1 billion. the funding deal, according to these reports, could value zoox at more than $us3 billion.

 zoox's spokesman (it has one of those now, too) did not respond to requests for comment on its funding plans, or recent hiring activity.

 having the backing of at least one mega-corporation like tencent (potentially two, if the softbank talks amount to anything) will be important. because zoox will certainly need a lot of money to fulfil its lofty goals.

 zoox, the autonomous mobility firm building a driverless vehicle (but not a car) from scratch, which is officially in ""stealth mode"", is making noise in silicon valley and beyond.

 don't be surprised to hear more about the firm in coming months. as one well-placed observer of the company's progress recently put it to me: zoox is ""entering godzilla mode"". so strap yourselves in and enjoy the ride.

 ""zoox was founded on the insight that ai [artificial intelligence] and mobility is not about incremental adaptation to the automobile,"" he said last month at an event hosted by fortune magazine. ""zoox is not building a better car, we actually think we are building what comes after the car, which is a robot.""

 i first came across zoox last year, the last time it raised money from high-profile us investors. the surprise raising, which seemingly came from nowhere, propelled the firm into the closely watched ""unicorn club"", for unlisted tech firms valued at more than $us1billion ($1.25 billion).";P
50167;memsql;" alexandria, va: united states patent and trademark office has received an application no. 20170091301 for us patent, published on march 30, 2017, by memsql, inc. (california), titled as ""atomic clustering operations for managing a partitioned cluster online""  for the registration of patent.";X
51097;stylesight;"renee labbe, vice-president of stylesight's global trends department,  said there would be four major styles and designs for next year's summer/spring clothing collection.

 clothing company stylesight is holding a seminar at fashion week on  wednesday on accessories trends for next year's autumn/winter.";X
51343;newswhip;"breitbart, whose chairman steve bannon has been tapped for a key white house post after helping to mastermind trump's campaign, outperformed many media outlets to get the fourth largest number of ""engagements"" by internet users on election night, according to the analytics group newswhip.";X
52183;phenomix;phenomix says now is the time to go public. the san diego-based drug developer has filed papers with the sec that outline an initial public offering designed to raise $86 million. phenomix has development programs for type 2 diabetes as well as hepatitis c. its lead program is a mid-stage dpp4 inhibitor. its long list of venture backers include jp morgan funds, nomura phase4 ventures, delphi funds, alta partners funds, sofinnova funds, novartis funds. morgan stanley, credit suisse, oppenheimer & co. and pacific growth equities will underwrite. phenomix was a 2007 fierce 15 company.;X
52541;precipio; us investment advisor firm precipio wealth management llc said it had bought certain of the assets of local sector companies loewinger & co llc and loewinger financial planning llc from the estate of the late stephen j loewinger, cpa, loewinger & coâ(euro)(tm)s tax preparer. country: usa sector: banking/financial services target: loewinger & co llc , loewinger financial planning llc buyer: precipio wealth management llc vendor: the estate of stephen j loewingerstephen j. loewinger, cpa type: divestment status: closed;Q
53015;cardiokinetix; cardiokinetix has raised us $44 million in a two-part series e financing led by new investors and existing investors. this financing provides cardiokinetix with the capital necessary to progress the development of its parachute ventricular partitioning device, including conducting clinical studies to further support the initial commercialisation of the device in europe and a pma submission for the us market.;P
53577;brightfarms;salad products packaged in clear, plastic clamshells with best by dates located on the label of the package: 10/24/2017, 10/25/2017, 10/26/2017, 10/27/2017 and 10/28/2017. brightfarms baby kale (3 oz. package), upc code: 1115093816;Q
53583;brightfarms;" i bring people into the brightfarms family - supermarket clients, investors, employees, vendors, etc. - and lead them to revolutionize the produce supply chain; to replace a broken system with an alternative that produces lettuces, tomatoes and herbs that are safer, tastier, more nutritious, longer-lasting, better for the environment and bursting with the love that can only be found in food prepared for someone with whom the grower can have a personal connection.

  new york: following is the profile of paul lightfoot chief executive officer of brightfarms, inc: although for many years i led a business with the singular focus of improving retail supply chain efficiencies, on a personal basis i have been focused on feeding my family with local, whole and non- processed foods. the opportunity to lead brightfarms is an opportunity to combine my career with the things that i care about most on a personal basis, which is truly lucky and feels great.

  i've been a passionate food zealot for many years. i have a deep background in retail supply chain leadership. i've been leading businesses for more than 12 years. i really really care. i love working in a business that has such a strong purpose; that's bigger than any of us individually. i get to bring food to people that tastes better, is healthier and is better for the environment! i also love working with a bunch of energetic people, particularly energetic people that commute by bike. this is my mid-life crisis, and it is a wholesome mid-life crisis that helps me feel energized and healthy. baby spinach, because my wife loves it so much (and i love her). i look for ways to be green that also make me feel good. i enjoy feeding myself in a way that improves my health and the environment. for example, i've drastically reduced the amount of animal products that i eat. this is great for the environment, and it has also made me feel healthier, lighter and fitter. my running has improved and i feel younger. similarly, i no longer use a car for commuting (for years i drove 60 miles each way!). i ride my bike to the train station and take the commuter train to grand central terminal and walk to brightfarms hq. my commute has become enjoyable, with a bit of exercise, and time on the train to organize my work, nap or enjoy a book. follow me on twitter @plightfoot. i have been a passionate food zealot for many years. i have deep background in retail supply chain leadership. i 've been leading businesses for more than 12 years. my ted talk, a produce supply chain revolution, has been viewed nearly 30,000 times. i have delivered keynote speeches at conferences such as agriculture 2.0, canadian grocers association, food industry sustainability summit and the toronto urban agriculture summit. i have spoken at many events, such as stanford food summit, harvard business school papsac, fortune brainstorm green, catalyst founders reception, cornell entrepreneurship conference, northside festival, green tech monster and greentopia. i've been featured in fast company, the new york times, the wall street journal and time magazine, and numerous times on local and national television and radio. i was recognized by chain store age magazine as a ""rising star in retail"" in their annual 40 under 40 awards. i am also an active member of the young president's organization and was the 2011 winner of ypo's csr award for environmental sustainable business practices. fast company named me to its list of 1000 most creative people in business in january 2014.";X
53661;scalemp;" ""as business processes become more automated and customer engagement expands to include new channels such as mobile business apps, the amount of data that organizations need to process in real-time to make critical business decisions is exploding,"" said kamran amini, general manager, servers and storage, lenovo. ""through our close collaboration with our partners sap and scalemp, lenovo has created an innovative enterprise solution that enables customers to cost effectively expand their sap s/4hana environments incrementally by adding server nodes that quadruple ""in-memory"" database capacity as opposed to doing forklift upgrades to expensive, proprietary large smp systems."" sap s/4hana customers often begin their deployment process with an initial sizing and estimate of the data growth rate for their enterprise. built on lenovo systems ranked number one in customer reliability&sup1; and customer satisfaction2, lenovo's innovative solution uses a scalable, building-block approach. the lenovo scalable solution for sap hana is engineered to support even larger sap s/4hana workloads, offering customers the flexibility to start with a single system and smoothly scale their infrastructure as their data grows. by overcoming system memory boundaries, customers can do this without additional processor nodes, an approach that helps lower overall tco when compared to traditional 16-socket and larger smp systems. cloud service providers and customers with on-premise implementations will benefit from this approach with new cost-effective ways that better serve their customers as data requirements and workloads evolve. as with any sap application deployment, project plan integrity and the stability of the production environment are critical success factors. to help ensure success, lenovo provides best-practice service offerings to help speed deployment and provide ongoing maintenance, 24x7 monitoring and management of the lenovo scalable solution for sap hana. these service offerings are designed to ensure that sap hana implementations are up and running quickly and meet key customer expectations over the long term. ""we anticipate that sap s/4hana customers, whether they are using on-premise or sap hosted cloud solutions, will see improved simplicity, scalability and tco required for larger workloads,"" said dr. wieland schreiner, executive vice president, sap s/4hana, sap se. ""leveraging testing done in sap's own enterprise cloud and collaboration with lenovo, this new solution will help customers enhance the return on their investment in sap s/4hana and realize new business value."" ""scalemp has identified system memory capacity as the key limiting factor for applications in cloud and enterprise datacenters. our current and future products are focusing on removing those barriers for scale and efficiency,"" said shai fultheim, ceo of scalemp. ""as a datacenter innovation leader, lenovo is a natural partner to scalemp for its software-defined memory and computing products."" the lenovo scalable solution for sap hana, available in the fourth quarter of 2017, is another example of the deep collaboration between lenovo and its partners sap and scalemp, and the companies' ongoing commitment to delivering new, enhanced value to their mutual customers.";X
54178;modbook;id              3255867 description     product price           $23.0 usd media type      internet country         united states product         modbook productbrand    axiotron, inc. preview order ad detail;X
57057;academixdirect; fort lauderdale: following is the profile of karen c. francisexecutive chairman of  autonation, inc:  karen c. francis has served as a director of the company since february 2016 and is a member of the board's audit committee. ms. francis is executive chairman of academixdirect, inc., a technology marketing company serving the education industry. ms. francis served as executive chairman and ceo of academixdirect, inc. from 2009 to 2014. from 2004 to 2007, ms. francis was chairman and ceo of publicis & hal riney, an advertising agency based in san francisco. from 2001 to 2002, she served as vice president of ford motor company, where she was responsible for global technology strategies, customer relationship management, global export operations, and ford direct, the company's online sales initiative structured as a joint venture with ford dealers. from 1996 to 2000, ms. francis held several positions with general motors, including serving as regional manager of the chevrolet division responsible for all dealer operations in eleven states, as well as general manager of the oldsmobile division overseeing dealership operations nationwide. ms. francis also serves as a director of the hanover insurance group, inc.;X
57422;trenstar;company/product                                                      technology automated design systems' intuitive assets                         erp software highjump software                                         supply chain software i2 technologies inc.                                      supply chain software ilog                                                  business rules management innotec                                            digital engineering software macneal group                                             simulation technology oatsystems inc.                                                   rfid software openair inc.                                   professional services automation                                                                        software pyxis solutions                                     quality assurance solutions sat corp.                                                      mobile solutions trenstar tracking solutions                                      rfid solutions verayo                                                               rfid chips visiprise inc.                                  manufacturing execution systems                                                                           (mes);Q
58236;getfeedback;"as part of the deal, getfeedback's founder kraig swensrud will take the role of chief marketing officer at campaign monitor.

  19 november 2014 - australian e-mail marketing company campaign monitor pty ltd said that it had purchased us online survey technology company getfeedback, or matchbook labs inc, without disclosing financial details.

 combining the two companies will create unique opportunity to deliver a world-class products that will further enhance the buyer's growth in the sector, said swensrud. country: usa sector: computer software target: getfeedback buyer: campaign monitor pty ltd vendor: kraig swensrud type: corporate acquisition status: closed

 getfeedback's team will add additional expertise to campaign monitor, as the company invests aggressively in its growth, said campaign monitor ceo alex bard.";X
58240;zonoff;"staples confirmed that it is discontinuing staples connect, one of the earliest retailer-specific smart-home platforms, and is supplanting the zonoff-based program with z-wave-compatible products. staples connect was launched in 2013 and encompassed some 150 products from more than three dozen vendors. the move, the chain said, was prompted by ""changing market dynamics and a focus on more business-oriented solutions.""";X
58515;orabrush;-dentek acquires orabrush tongue cleaner us-based oral care products provider dentek has acquired us tongue cleaner brand orabrush, the company said on tuesday.  dentek has acquired all of the assets and intellectual property of the orabrush brand, including the orabrush tongue cleaner, orabrush tongue foam and orabrush liquigel.  in addition, dentek will partner with molio, a video marketing ad technology company founded by former orabrush executives, to continue building the orabrush brand on youtube and other social media sites. status: closed;X
59028;textplus;of the greediest mobile apps, four of the top 10 were in the social media category, with facebook, instagram, path and textplus making the heaviest impact on battery life, data consumption and storage, joined by communication apps such as qq and bbm, and multimedia apps 9gag and spotify.;X
