;company;paragraphs;label
13102;idevices;"it&#39;s called &#39;ios&#39; now and not &#39;iphone os&#39;, since it works on ipad too, and having a system called &#39;iphone os&#39; on ipad was just getting confusing. besides, who knows what other idevices apple has gestating away in its labs that might benefit from this stripped&#45;and&#45;lean os x derivative?";
14010;tracxn;according to startup data collector tracxn!, the average size of series a and b rounds combined more than doubled from $6.68 million in the first quarter of 2014 to $14.29 million in the same period this year, with a big bump up taking place in series b rounds. what used to be historically a series a round at $2-3 million is raised at the seedstages buoyed by an upcoming group of active entrepreneurturned-angel investors and pureplay vcs entering the ecosystem at the idea stage, backing teams and not the business.;
14645;crunchbase;transferwise has raised $116m (£90m) to date, according to figures from crunchbase, from the likes of venture firms index ventures, andreessen horowitz and valar ventures, as well as baillie gifford, the scottish investment firm, with the last round of cash coming in may 2016. one of the earliest uk investors in transferwise, seedcamp, cashed out a minority stake earlier this year.;
14746;bigcommerce;"  through the integration, bigcommerce merchants can now select products from their catalogue and begin selling to more than 165 million active buyers on ebay in a matter of minutes, without the need for third-party apps or custom development.  bigcommerce merchants that choose to sell on ebay can take advantage of unique benefits, like centralised inventory management and order processing, where merchants can simultaneously sell the same products and inventory across both ebay and their branded website while effortlessly syncing stock levels and ebay orders with their online store. streamlined fulfilment and order management eliminates the need for manually managing processes across various channels.  with rapid bulk listing and central management, merchants can create hundreds of ebay listings in minutes using customisable templates by automatically mapping products to ebay categories.  the omnichannel suite offers channel-level control and customisation, where merchants can tailor ebay listings by defining channel-specific descriptions and pricing while still using a common product catalogue. with scalable architecture, and utilisation of ebay's new apis, merchants will benefit from more consistent and faster syncing.  the integration with bigcommerce represents a broader api initiative that ebay has recently undertaken to make both buying and selling easier than ever. with the release, bigcommerce is the only ecommerce platform to natively support selling across the world's two largest marketplaces and leading social platforms, including facebook and pinterest.  bob kupbens, ebay's vice president of business-to-consumer selling said, ""we're thrilled to partner on a seamless solution for bigcommerce merchants to scale their businesses through ebay's marketplace. ebay helps every shopper find items that are perfect for them - and this integration will deliver even more choice and selection to ebay's highly engaged and active global buyer base.""  brent bellm, ceo of bigcommerce said, ""our integration with ebay enables retailers to sell to the massive ebay community from a single platform unified with their branded websites. the ebay and bigcommerce partnership allows retailers to maximise their online sales while minimising technical and operational complexity.""

  new delhi, nov 15 --  ebay, a global commerce leader including the marketplace, stubhub, and classifieds platforms, and bigcommerce, a leading cloud ecommerce platform for rapidly growing businesses, has unveiled a new suite for merchants to seamlessly list and sell products on the ebay marketplace, while managing inventory and orders natively through bigcommerce.";
15022;nerdwallet;"nerdwallet said it raised $64 million in its first round of funding, far more cash than it needs to run the personal finance start-up, in part to underscore its growth and show it has the potential to one day be valued at over $1 billion. the cash, an outsized sum for initial funding, will serve as a signalling device as much as it will help nerdwallet expand, said founder and ceo tim chen. ""i really think that winning in this market is about attracting the best talent out there,"" said chen about his personal finance advice company.

 ""the more talent, the better."" the funding round values nerdwallet in the mid-hundred millions, a person familiar with the situation said. once a company hits a $1 billion valuation, it becomes what silicon valley calls a ""unicorn"". since the beginning of 2014, just eight us start-ups have raised series a funding rounds of $50 million or more, according to consultancy cb insights. while the san francisco-based company has already attracted top engineers and product managers from companies such as linkedin and twitter, having such a large first cheque from a top-tier venture capital firm, ivp, will help it recruit more in silicon valley's tough job market, he said. a recruiter says the strategy makes sense. ""it's like a seal of approval,"" said karen myers, co-founder of the talent farm. when helping recruit for lytro, the industrial camera company, the ability to tout the company's $50 million initial funding round helped considerably. ""it was a big deal,"" myers said. with a few exceptions, companies generally raise sums in the single-digit millions for their first serious funding round, known as a series a. those exceptions include companies with established revenue-generating businesses, such as developer platform github, which raised a $100 million series a in 2012. nerdwallet, whose competitors include companies such as bankrate and credit karma, makes money from fees earned by matching consumers with appropriate financial products, such as credit cards. it is profitable, chen said. the company helps consumers understand how to pick the best life insurance, say, or financial decisions they need to make around a major life event such as buying a house or having a baby. nerdwallet also has a $36 million revolving loan from silicon valley bank. venture firm ivp led nerdwallet's funding round, with participation from rre ventures, iglobe partners and others. nerdwallet was founded in 2009.";
15260;amobee;   sgt - company announcement $gen0 11 june 2014 part 1/1 -------- singapore telecommunications: amobee's acquisition and incorporation of subsidiary sydney - wednesday - june 11 (rwe) - singapore telecommunications limited (asx: sgt) announce that its wholly-owned subsidiary, amobee group pte ltd has entered into a conditional agreement to acquire 100% of the share capital of adconion media, inc and adconion pty limited.;
15391;amobee;"the deal, which brings gruner + jahr together with other publishers puts the amobee platform at the nucleus of europe?s largest mobile ad marketplace for ad placement on mobile sites and applications, servicing titles including financial times deutschland, spiegel, stern, gala, brigitte, vodafone, o2 telefonica and many other popular titles.

 ?mobile advertising gives operators and publishers the ability to distribute and make money from their content in new and powerful ways,? said g+j ems director mobile, oliver von wersch. ?the growth of smartphones has given us exciting new channels to reach our target audiences and this consolidation with amobee now transforms the mobile ad market from confusing and unproven into a major channel for g+j ems.?

 amobee makes sense of mobile advertising for content owners and advertisers, creating value where previously there was fragmentation and confusion,? said michael moritz of sequoia capital. ""amobee is the only company with an open and integrated approach to mobile advertising, and history suggests this is a winning approach. amobee?s latest move will create a liquid, global market for publishers, operators, developers and advertisers.""

  amobee media systems, the leading mobile advertising solutions company, today announced it has been appointed by gruner + jahr electronic media sales (g+j ems) to represent 75% of premium mobile content in germany. amobee will become the exclusive partner in mobile advertising, serving billions of ads impressions per month.

 ?amobee makes it easier for publishers and advertisers to derive value from each other. publishers can monetize their content assets while advertisers can access the most broad-reaching targeted audience through one single platform,? mr. levkovitz said.

 amobee is the most widely deployed mobile advertising platform in the industry. its partnerships with the world?s leading operators and content publishers sees amobee reach around 1 in 7 mobile users on the planet every day.

 ?this foreshadows a new era in mobile where multiple partners come together to consolidate their content, creating a simple and valuable eco-system for publishers and advertisers alike,? said amobee ceo and co-founder zohar levkovitz. ?three in every four mobile web pages, and a large majority of apps are now represented, viewable, assessable and bookable on amobee?s platform, and can now be monetized in a seamless way to bring relevant, targeted advertising to the audience.?";
15591;prezi;"prezi also has european roots, being the most successful startup to have incubated in hungary before expanding from budapest to san francisco and mexico city.

 prezi is a visual presentation platform whereas infogram is a web-based data visualization company. infogram specializes in charts and infographics for customers who need to quickly and effectively convey complex ideas.

 infogram will become a wholly-owned subsidiary of prezi and will remain in latvia. prezi will continue to invest in research and development of infogram and will create a data visualization center of excellence in latvia, journalists were told at the announcement of the deal.";
15879;viveve; milford: viveve medical, inc. has issued the following stock quote: last price                                                              6.68 change $                                                              0.15 change %                                                               2.20% tick bid                                                              6.38 bid size                                                              100 ask                                                              15.00 ask size                                                              600 open                                                              6.86 high                                                              6.94 low                                                              6.6152 prev close                                                              6.83 last trade                                                              07/27/17 volume                                                              78.35k 52 wk hi 11.1599998 52 wk low 3.75 market cap                                                              129.6m ex-div date                                                              n/a div rate                                                              n/a yield                                                              n/a shares                                                              19,400,633 eps (ttm)                                                              -2.24 pe ratio                                                              n/a exchange ncm;
16127;qualtrics;"qualtrics helps organisations monitor and improve the vitality of businesses and mcmurray shares some of the ways he helps clients have happy customers, engaged employees and growing markets.

 bill mcmurray, managing director of qualtrics, believes there are some simple tricks to getting the minds of staff back on their work, whether they've been off on summer holidays or returning after a long weekend.";
16885;veracyte;woburn, ma: following is the profile of michael webb  advisor of wolfe labs: michael webb serves on wolfe laboratories' board of advisors. mr. webb is president and ceo of tyrogenex and its sister company, xcovery. he has more than 25 years' experience in growing biotechnology companies and a track record that includes raising more than $350 million in private and public equity markets. previously, he was president and ceo of allegro diagnostic corp., a venture-backed, molecular diagnostics company focused on lung cancer that was acquired by veracyte in 2014. prior allegro, he founded and served as president and ceo for anchor therapeutics, inc. during his time as president and ceo of epix pharmaceuticals, he led the company from a series a-round financing to an industry leader position in pharmaceuticals for diagnostic imaging and listing on nasdaq. mr. webb has served as chair of the massachusetts biotechnology council, founding chairman of the united way of massachusetts bay's math, science and technology initiative and is a member of several boards. mr. webb holds an mba from northwestern university, a master's in international relations from sussex university and a b.a./b.s. in biochemistry and economics from the university of kansas.;
18027;mindbody;controlled reflecting is focused on the ability of a leader to sift from among the available information and experiences and identify the key based positive, supportive and optimistic options that can enhance the goal-achievement of the organization - and then to focus his/her thoughts on these options. the underlying premise of controlled reflecting is that the individual involved is in control of how he/she responds to the information and the environment. leaders have a choice about how they make sense out of the world. as has been noted, the only person whose behavior can be controlled is one's self. all one can give or get from other people is information. how an individual deals with that information is one's own choice (glasser, 1998). leaders who panic typically quickly lose the support and confidence of their team. positive attitudes, thoughts and feelings increase coherence, thus increasing energy capacity. negative attitudes, thoughts and feelings decrease coherence, causing the mindbody to decrease energy capacity (hawkins, 1998).;
18289;brightroll;" 22 october 2014 - us technology company yahoo! inc (nasdaq:yhoo) is in discussions for the purchase of domestic digital video advertising service provider brightroll inc for about usd700m (eur550.6m), techcrunch reported.

 brightroll acts as an intermediary and service for both publishers and advertisers, helping them publish ads on mobile, web and connected tvs. the company had more than usd100m in revenue last year and has so far raised over usd40m from its backers, the blog reported.

 yahoo could not be reached for comment when approached by techcrunch, while brightroll declined to comment. country: usa sector: computer software, advertising/pr target: brightroll inc buyer: yahoo! inc type: corporate acquisition status: speculation comment: deal size could reach between usd700 and usd725m";
18879;disqus;"the metrics used in the disqus study are crude but the results are nevertheless intriguing. pseudonymous users produced significantly more ""quality"" comments (assessed by numbers of times a comment was ""liked"" and replied to) than either anonymous or real-name users. and they were much more prolific commenters: 61% of the 500m comments came from pseudonymous users, compared with 35% from anonymous users and a mere 4% from the facebook-registered crowd.

 for site owners who fear that real-name commenting represents a risk too far, there is a halfway house: pseudonymity' ie a system in which commenters are allowed to choose their own user names, but have to associate them with a valid email address (which in the last analysis could be used as an identifier). last year, disqus, a company that provides an online discussion and commenting service for websites, published some useful research on the behaviour of different types of site user.

 the purpose of the research was to address the criticism that there is no substantive difference between pseudonymous and anonymous commenters. disqus begged to differ, arguing that whereas real names are for authentication (establishing who you are), pseudonyms are for expression: they imply ""a choice of identity"" and therefore have a communicative function. the company looked through its database of 60 million users and 500m comments to see how commenting practice differed between users who were completely anonymous, those who used pseudonyms and those who had registered via facebook (and therefore were obliged to use their real names).";
19019;thewrap;the detroit-based corporation told thewrap : 'fiat chrysler automobiles us extends its deepest sympathies to the family and friends of mr. yelchin.;
19190;thewrap;it looks like the lone ranger will ride after all: thewrap has confirmed that disney is close to a deal to revive the johnny depp movie. in august, the company halted production on the big-budget project, which stars depp as tonto and armie hammer as the masked man. gore verbinski is directing and jerry bruckheimer is producing. an individual close to the project told thewrap on tuesday that while a deal to get the project back in production is not yet finalized, it appears imminent. it took some doing. in order to cut costs - there was talk the movie would cost more than $250 million - the script, which apparently contained supernatural elements, had to be reworked. some of the principals also had to cut their fees. even with the cuts, it's an expensive film, with a budget still above $200 million. the studio is hoping to begin shooting in february.;
19237;thewrap;"miller says the overhaul marks a ""full swing of the bat."" he was speaking tuesday at a conference hosted by entertainment and media news website thewrap.";
19546;pulmatrix;" ""we are excited to have dr. roach join the pulmatrix team to oversee and accelerate the clinical development of our pipeline,"" said robert w. clarke, ph.d., chief executive officer of pulmatrix. ""dr. roach is an ideal person for the job, as a board-certified pulmonologist with many years of experience in successfully managing clinical development and operations, as well as medical and regulatory affairs, in a number of biotech and pharma companies."" most recently, dr. roach was chief medical officer at veristat. prior to joining veristat, he served as senior vice president, development and chief medical officer of momenta pharmaceuticals, senior vice president, medical affairs at sepracor pharmaceuticals, and head of medical affairs at millennium pharmaceuticals.  dr. roach also formerly held positions in clinical research at leukosite and at astra usa. a graduate of georgetown university school of medicine, dr. roach has also been an assistant professor of medicine at harvard medical school and an associate physician in the pulmonary and critical care medicine division at brigham and women's hospital since 1993. at pulmatrix, dr. roach will manage the clinical development of the company's strong pipeline of inhaled drugs. the company's key innovation is a dry powder technology, called ispersetm, which has the potential to efficiently deliver virtually any type of drug. ""i am very excited to be joining pulmatrix at a time when its lead compounds emerging from the isperse platform are so close to entering the clinic,"" said dr. roach. ""i look forward to working with the team to advance these innovative therapies that hopefully can make a meaningful difference in the lives of patients suffering from these chronic illnesses."" pulmatrix's lead proprietary program, pulmazole, is aimed at a major unmet medical need, abpa. pulmazole offers the potential to treat abpa by reducing the fungal burden of disease, which is thought to trigger the intense hypersensitivity and inflammatory response experienced by patients with asthma, cystic fibrosis, and others with compromised lung function that develop abpa. by including the anti-fungal drug itraconazole in its dry particles, pulmatrix has been able to achieve high concentrations of the drug in the lungs and reduce systemic exposure in animal models.  the program is planned to enter the clinic in q1 2018. pur1800 is narrow spectrum kinase inhibitor (nski) under development as a novel anti-inflammatory for moderate-to-severe copd patients.  the active molecule in pur1800 was in-licensed from respivert ltd., a wholly owned subsidiary of janssen biotech, inc., in june 2017. respivert ltd. previously completed a phase 2a study in copd patients utilizing an earlier formulation which revealed a reduction in some markers of inflammation believed to be important in the pathogenesis of copd.  pulmatrix plans to advance pur1800 to the clinic in 2h 2018 in a bridging phase 2a study that will evaluate biomarkers of anti-inflammatory efficacy in an isperse formulation of the molecule.

  lexington:  pulmatrix, inc  has issued the following news release:  pulmatrix, inc. (nasdaq: pulm), a clinical stage biopharmaceutical company developing innovative inhaled therapies to address serious pulmonary diseases, today announced that it has appointed james (jim) roach, md, facp, fccp as its new chief medical officer, effective november 3, 2017. dr. roach will lead the clinical development of pulmatrix's innovative inhaled drugs for serious lung diseases, including allergic bronchopulmonary aspergillosis (abpa) and chronic obstructive lung disease (copd).";
19762;hipcricket;"hipcricket inc, the mobile marketing and advertising subsidiary of augme technologies inc (otcbb: augt), announced on thursday that nestle waters north america, a bottled watered company in us, has extended its relationship with hipcricket by selecting it to manage and execute its new mobile marketing campaign with the pantry's kangaroo express.

 under the agreement, financial details of which were not available, nestle waters is using hipcricket's ad life platform to power mobile calls-to-action for the 'kangaroo express summer getaway sweepstakes'.";
19849;tubemogul;it's a similar story with other wall street ad-tech companies like tubemogul, tremor video and yume, which are down 48.7 per cent, 81.7 per cent and 72.1 per cent from their peaks.;
20371;smashburger; growth in u.s. franchise units                                                             rank 2017                        201   chain                              6 1                                            16          first watch 2                                            2     blaze fast-fire'd pizza 3                                            1     the habit burger grill 4                                            4      la madeleine country                                                          french cafe 5                                            29          shake shack 6                                            3     freddy's frozen custard                                                        & steakburgers 7                                            29        hard rock cafe 8                                            29        polio tropical 9                                            57          taco cabana 10                                           11    tropical smoothie cafe 11                                           29          taco bueno 12                                           8          newk's eatery 13                                           10          twin peaks 14                                           14         smoothie king 15                                           12      pei wei asian diner 16                                           13      which wich superior                                                          sandwiches 17                                           25         schlotzsky's 18                                           44       sonny's real pit                                                            bar-b-q 19                                           5     menchie's frozen yogurt 20                                           21        caribou coffee 21                                           6            bar louie 22                                           19    penn station east coast                                                             subs 23                                           20          pizza ranch 24                                           9           smashburger 25                                           26        johnny rockets 26                                           48          fuddruckers 27                                           22      rally's hamburgers 28                                           18    charleys philly steaks 29                                           55          uno chicago                                                      grill/pizzeria uno 30                                           24           fazoli's 31                                           41        wienerschnitzel 32                                           29          au bon pain 33                                           7       corner bakery cafe 34                                           38         donatos pizza 35                                           45         famous dave's 36                                           27      cold stone creamery 37                                           42     hungry howie's pizza 37                                           29       peter piper pizza 37                                           29    romano's macaroni grill 37                                           29     rubio's coastal grill 37                                           56            sbarro 37                                           49           shoney's 37                                           23          village inn 37                                           29         zoes kitchen 45                                           39          taco john's 46                                           51        the melting pot 47                                           40            sizzler 48                                           50     a&w all american food 49                                           46       bruegger's bagels 50                                           47          houlihan's 51                                           59       godfather's pizza 52                                           58     on the border mexican                                                        grill & cantina 53                                           52          friendly's 54                                           28         huddle house 55                                           43    beef '0' brady's family                                                          sports pub 56                                           54     big boy/frisch's big                                                              boy 57                                           53          sarku japan 58                                           15       black bear diner 59                                           60       benihana of tokyo 60                                           17      old chicago pizza &                                                            taproom 61                                           61            quiznos averages:                                           % change       net change                             ran  latest   precedin        latest vs                              k     vs.       g 2017                        201 preceding   vs.           preceding                              6             prior 1                           16   84.21%    5.56%             16 2                            2    63.00    112.77            63 3                            1    60.00    400.00             3 4                            4    42.86    27.27              6 5                           29    40.00     0.00              2 6                            3    34.97    34.71             57 7                           29    33.33     0.00              1 8                           29    20.00     0.00              1 9                           57    16.67    -14.29             1 10                          11    16.16    13.17             75 11                          29    15.79     0.00              3 12                           8    14.47    16.92             11 13                          10    13.33    15.38              6 14                          14    13.27    11.44             84 15                          12    11.11    12.50              1 16                          13    9.55     12.30             34 17                          25    8.01      0.97             25 18                          44    6.67     -3.67              7 19                           5    6.09     22.74             24 20                          21    4.58      1.55              6 21                           6    4.17     20.00              1 22                          19    4.04      3.85             12 23                          20    3.78      2.21              7 24                           9    3.55     15.57              5 25                          26    3.41      0.57              6 26                          48    3.09     -4.90              3 27                          22    2.82      1.43              4 28                          18    2.64      4.77             11 29                          55    2.50     -9.09              1 30                          24    2.25      1.14              2 31                          41    1.60     -2.80              5 32                          29    1.35      0.00              1 33                           7    1.20     18.57              1 34                          38    1.01     -1.00              1 35                          45    0.76     -3.68              1 36                          27    0.11      0.44              1 37                          42    0.00     -2.81              0 37                          29    0.00      0.00              0 37                          29    0.00      0.00              0 37                          29    0.00      0.00              0 37                          56    0.00     -13.42             0 37                          49    0.00     -5.05              0 37                          23    0.00      1.16              0 37                          29    0.00      0.00              0 45                          39    -0.26    -1.31             -1 46                          51    -0.85    -7.14             -1 47                          40    -0.93    -1.82             -1 48                          50    -0.95    -5.93             -6 49                          46    -4.26    -4.08             -4 50                          47    -4.76    -4.55             -2 51                          59    -5.75    -18.84            -25 52                          58    -5.88    -15.00            -1 53                          52    -7.52    -7.64             -10 54                          28    -8.10     0.28             -29 55                          43    -8.11    -3.14             -15 56                          54    -9.89    -9.00             -9 57                          53   -11.48    -8.96             -7 58                          15   -12.31     6.56             -8 59                          60   -14.29    -22.22            -1 60                          17   -17.50     5.26             -7 61                          61   -25.97    -33.84           -168 averages:                         6.78%    9.26%              3 note: the 39 second 100 chains not represented on this table do not franchise.;
20853;powercore;"   with no more than six square metres of solar panels, engineering students from universities around the world are combining car technology with energy-efficient alternatives to conventional engines.    from sunday, they'll be racing 3000km down the guts of the country from darwin to adelaide, a trip not for the faint-hearted.    ""it's not a car to drive for fun,"" koen sedee from dutch solar team twente says of the heat.    drivers in his team underwent endurance training with the royal air force in the netherlands, and have spent the past few weeks in darwin fine-tuning their condition.    the red engine car, shaped like an aeroplane wing, weighs a mere 139kg, which is 40kg lighter than their last effort even though engineers have added a fourth wheel.    ""the driver sits in the middle and it's much more stable,"" mr sedee says.    ""it looks like a bigger car but aerodynamically it's just better, we think.""    the red engine will race in the challenger class in a single stage to adelaide, with teams driving as far as they can until 5pm each day, when they will have to make camp in the desert.    but stefan spychalski, from german team hochschule bochum, scoffs at the high-speed cars, calling them ""table tennis cars"" due to their flat design.    his team's 2009 effort inspired a new category in this year's race: the cruiser class, which aims to build cars that would meet road registration requirements.    ""we decided to build cars not for racing but for everyday life,"" he says.    in 2009 his team knew the car would be too slow to win, but now that it has its own class, the pressure to win is on.    their powercore suncruiser generally travels at about 60km per hour, but can reach up to 100km per hour.    ""actions like overtaking, speeding, driving fast, are totally unusual for a solar car driver. you use so much energy with those actions, so we don't do that,"" he says.    ""the endurance of the car is important - you must travel at a velocity that matches your energy consumption.""    the student designers of the 320kg vehicle (which mr spychalski fears is too heavy) looked to car brands such as audi, volkswagen and bmw to develop their solar car, keeping in line with their desire to create something motorists would be able to use.    ""the back is a little like an audi tt - it's looking quite good,"" he says.    the driver sits in the middle, so the car can be driven in both australia and europe, with two passengers behind on either side.    and although sunday's race is yet to begin, designers are already looking to the future for their next car.    ""we build a car every two years, and this is our fifth car,"" mr spychalski says.    ""we (have) the design for the new car for 2015 already on our computers.""";
20932;servicemax;prokopis will be joining executives from servicemax and librestream on the panel, extreme automation: a day in the life of field service organizations, on may 2nd at 3:15pm. conference attendees are also encouraged to visit onprocess booth #13 to learn more about leveraging automation to enhance field service delivery. visitors can see a demo of onprocess optvisionsm, the only platform that combines real-time, end-to-end visibility with analytics-driven alerts to radically improve field service operations. 2017 global data point.;
21157;hudl;" retail giant tesco is to launch its own-brand smartphone this year following the success of its hudl tablet in 2013. it is also planning to launch an updated hudl 2 tablet computer, which will be released in september in time for the christmas sales rush.

 the £119 hudl tablet computer, meanwhile, has sold more than 500,000 units and a new version, the hudl 2, will be released in september, he added.";
22413;hipchat;fortunately, this mindset is changing. the next wave of great australian companies think global by default, and are showing they can more than compete on the world stage. atlassian, the sydney-based software company behind jira and hipchat, is perhaps the best example of that. the company, profitable for over a decade yet having no plans to ever pay a dividend as it focuses on scaling up its business, was subject to criticism for listing on the nasdaq rather than the asx last year. but is there any wonder that it did that?;
22547;zafgen;"highlight: zafgen has reported that its experimental obesity drug, beloranib, reduced body weight and hyperphagia-related behaviors in a phase 3 trial.

 us-based zafgen is also developing zgn-839, a liver-targeted metap2 inhibitor, to treat nonalcoholic steatohepatitis, abdominal obesity, and second-generation metap2 inhibitors.

 zafgen ceo thomas hughes said: ""this clear efficacy outcome is a crucial first step in moving discussions forward with the food and drug administration regarding continued development of beloranib.";
23716;shopkick;"why now? button (shopkick's mobile partnership platform) co-founder and cro mike dudas said that mobile sales are expected to hit $160 billion this year and will only continue to grow.

 ""intent to purchase, whether it's shown through a search, inspired by an article, or created through offering rewards, is what retailers are trying to tap into anywhere they can in mobile. button's platform makes it faster and easier for them to do so, and it gives partners like shopkick the power to tap into the fastest growing trend in digital--the mobile economy,"" dudas said.

 ""by being the only company who offers rewards for mobile browsing, we are innovating in the arena where consumer attention is increasingly focused,"" said bill demas, ceo of shopkick. ""rewards give users value back for the time they spend engaging with us and our partners--and everyone wins.""

 shopkick believes the program is also a great marketing tool for partners, as it drives awareness and incentives for consumers to visit partner sites and make purchases. the program addresses all points in the marketing funnel, from awareness to consideration to conversion, delivering great roi for brands and retailers. in beta tests, some users spent hundreds of dollars in a single visit.

 shopping reward app shopkick is known for giving consumers free gift cards for walking into stores and interacting with products in the aisle. now the company has launched rewards for mobile browsing and buying.

 the goal for shopkick is to introduce new partners to its audience while also pushing mobile purchases. during an initial test of mobile shopping, 79% of users would visit new mobile retailers to get kicks. also, 78% of those users said they intend to use shopkick more frequently. as many as 67% said they would sneak something extra into their online card in order to earn kicks.";
23742;shopkick;american eagle outfitters inked a partnership with shopkick for a mobile app that will detect when customers enter american eagle outfitters clothing stores and deliver coupons for the latest deals, according to a report by idg news service. shopkick makes transmitters that communicate with smartphones using bluetooth signals and mobile shopping apps for android and ios devices. the shopkick shopbeacon transmitter uses apple's ibeacon protocol. american eagle's program will be the largest ibeacon deployment by a clothing retailer, according to idg news service. read more on the american eagle program.;
23811;zoosk;plug and play tech center is a global innovation platform. we connect startups to corporations and invest in over 100 companies every year. since inception in 2006, our programs have expanded worldwide to include a presence in 10 countries and 20 cities providing necessary resources to succeed in silicon valley. with over 6,000 startups and 130 official corporate partners, we have created the ultimate startup ecosystem in many industries. plug and play provides active investments with 180 leading silicon valley vcs, and more than 365 networking events per year. companies in our community have raised over $ 3.5 billion in funding, with successful portfolio exits including danger, dropbox, lending club, paypal, soundhound, and zoosk.;
23861;zoosk;just take this survey by online dating website zoosk, which found that made-up women got three times more messages than women without makeup. then there are those depressing research papers that say that women who wear makeup to work are perceived to be more competent, reliable and amiable - and are therefore more likely to score that promotion.;
24233;tradeshift;"tradeshift is a global startup with the ambition to change the way we do business by allowing organisations to exchange invoices for free. it connects businesses to all suppliers and customers regardless of company size, not only saving time but also ensuring they get paid faster at both ends of the supply chain.

 in establishing a platform for all your business interactions, tradeshift helps smaller companies run more efficiently, harnessing the power of their network to create new value from old processes. apps like e-invoicing become a route to getting paid faster or even opening doors like dynamic discounting. meanwhile, enterprises that work with tens of thousands of companies like this find themselves surrounded by partners of all sizes who are already connected with them on a single, global, 100 per cent electronic platform. tradeshift is the first step towards a smarter, better, network-powered business.";
25153;duckduckgo;larson said that if people were paranoid about google, he would strongly encourage them to use duckduckgo, an alternative search engine.;
25213;duckduckgo;safari also has been improved, with a new favorites view that gives users quick access to favorite websites, and new tabs view displays thumbnails of all open web pages in one window. safari also gives more control over privacy, with separate private browsing windows and built-in support for duckduckgo, a search engine that does not track users.;
25429;ouya;" changchun is in the geographic center of china's northeast region and northeast asia. it has four national level development zones and a national level new district. it is an important industrial base and commodity grain base in china. with automobile, agricultural products and equipment manufacturing as its three pillar industries, the city also boasts six strategic emerging industries including biomedicine, new energy and photoelectric information. the city maintained an economic growth of 8 percent in the first half of the year, above the national average and leading the major cities in the region. jia lina, deputy mayor of changchun, said as an important city along the china-mongolia-russia economic corridor and the national changchun-jilin-tumen opening-up strategy, changchun has ten advantages including its location, resources, education, industrial bases, adequate production factors, multiple development zones and parks, favorable environment and policies. the city also seeks to open up further and integrate into the world economic development. the first automobile group, crrc changchun railway vehicles co., changchun ouya group, dirui industrial co., kinglaser co. and haoyue group were among the companies on the list. local specialties such as changchun rice and birch juice wine were also promoted. qi guohua, director of the city's foreign affairs office, said changchun was famous for its automobiles, films, sculptures, scientific education and greening, and crowned as a city of happiness for nine consecutive years. the promotion would help the city's companies to ""go global"" and attract more investment. a strong international cooperation is conducive to the city's opening-up and development as the regional center of northeast asia.";
25470;ouya;commercial retailer, changchun ouya group co ltd is due to issue rmb 300 million worth of 366-day unsecured financial bills on june 2nd, according to a recent company announcement.;
25626;soasta;"  ""the addition of soasta's technology is intended to give our customers new ways to measure, optimise and validate the business impact of their web performance strategies,"" ash kulkarni, senior vice president and general manager, web performance and security at akamai, said in a statement.  through its acquisition of soasta, akamai plans to add several new capabilities to its web performance solutions portfolio. this will help customers prioritise and implement the impactful performance optimisation strategies to positively affect business outcomes.  tom lounibos, ceo, co-founder of soasta, said that the acquisition would provide akamai customers, many of whom are already soasta customers, with a new way to measure and test the optimisations they are making to their sites, and validate the actual business impact of their site's performance.  --ians  sku/sm/vt

  bengaluru, march 30 -- global leader in content delivery network services akamai technologies on thursday entered into an agreement to acquire software testing company soasta. the all-cash transaction is expected to close in the second quarter of 2017  akamai said the acquisition of mountain view, california-based company, is intended to give its customers greater visibility into the business impact of their website and application optimisation strategies.";
